name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (M_sun),radius (AU)
Saturn,2452640.5,0.6156854102363479,9.012299875937009,-0.1812808479045729,-2.1437448280208433,0.13298857589609858,0.08304890215450453,0.00028572146807440927,0.0003892379679144385
Saturn,2453005.5,-1.523786928739269,8.903442877654978,-0.09429572172678954,-2.1188614639143353,-0.35028363333038176,0.0904952617332574,0.00028572146807440927,0.0003892379679144385
Saturn,2453371.5,-3.586777797161241,8.317500827121481,-0.002042087203602417,-1.98059350865312,-0.8136978791240661,0.09306643343114586,0.00028572146807440927,0.0003892379679144385
Saturn,2453736.5,-5.453684387916113,7.29303470053218,0.09005999803306582,-1.7404643876682449,-1.2267493620761956,0.09066130619295383,0.00028572146807440927,0.0003892379679144385
Saturn,2454101.5,-7.036506285345967,5.889819434531478,0.1774740451575638,-1.415602047559081,-1.5680973871263255,0.08361956454269961,0.00028572146807440927,0.0003892379679144385
Saturn,2454466.5,-8.26169742684553,4.188103562852246,0.2558764138134865,-1.0285545960284153,-1.8218418246496697,0.07258187402027023,0.00028572146807440927,0.0003892379679144385
Saturn,2454832.5,-9.080977359418867,2.274981152474581,0.3218206350058269,-0.6026679121597195,-1.9796720424704826,0.058376538890321815,0.00028572146807440927,0.0003892379679144385
Saturn,2455197.5,-9.464256597235392,0.2586843785429683,0.3722104934803856,-0.16403562761067061,-2.039086453944712,0.04193863242819166,0.00028572146807440927,0.0003892379679144385
Saturn,2455562.5,-9.411630379507361,-1.769506077682957,0.4054427113427828,0.2667155348805243,-2.0046659892189043,0.024216531665314373,0.00028572146807440927,0.0003892379679144385
Saturn,2455927.5,-8.940264714382161,-3.719412654954803,0.4206161730757284,0.6714398752087934,-1.8842116636577466,0.006051518168918414,0.00028572146807440927,0.0003892379679144385
Saturn,2456293.5,-8.080935766480986,-5.514688587694174,0.417623679425319,1.0363098924448435,-1.6873852292382285,-0.011892897538850911,0.00028572146807440927,0.0003892379679144385
Saturn,2456658.5,-6.885192589200265,-7.075478248485042,0.3971356226317339,1.3476160403498108,-1.4270551486346699,-0.02876417606780349,0.00028572146807440927,0.0003892379679144385
Saturn,2457023.5,-5.408154218881145,-8.349238471943371,0.3604466034514719,1.5977017100351738,-1.1151612323525408,-0.044124820407329,0.00028572146807440927,0.0003892379679144385
Saturn,2457388.5,-3.714375737549108,-9.290971828295552,0.309360334459133,1.7801877582979393,-0.7646550819866561,-0.05751296497287479,0.00028572146807440927,0.0003892379679144385
Saturn,2457754.5,-1.868495886977523,-9.869704547237628,0.2459234919102626,1.8911597781848732,-0.3874786819998925,-0.0685006486330148,0.00028572146807440927,0.0003892379679144385
Saturn,2458119.5,0.04609462146147577,-10.06314621626003,0.1730741903602583,1.9275937778428651,0.00140212746391434,-0.07677602509269896,0.00028572146807440927,0.0003892379679144385
Saturn,2458484.5,1.959578713622134,-9.867123667779564,0.09351849570384685,1.8890730988383977,0.39012218897195305,-0.08205394143020252,0.00028572146807440927,0.0003892379679144385
Saturn,2458849.5,3.797244858179945,-9.288096508474688,0.01033316774702351,1.7763964845519185,0.7660046333306979,-0.08411907603219469,0.00028572146807440927,0.0003892379679144385
Saturn,2459215.5,5.49036012589497,-8.342123518211071,-0.07347692163431904,1.5913549966840372,1.1171501813361966,-0.08285567045540648,0.00028572146807440927,0.0003892379679144385
Saturn,2459580.5,6.960077386083067,-7.066617015693108,-0.1541257342275609,1.339731875422332,1.4282837519104352,-0.07819815946159794,0.00028572146807440927,0.0003892379679144385
Saturn,2459945.5,8.147386794668694,-5.505124932230773,-0.2285151031504964,1.0275626113232572,1.6871048060420877,-0.07020625555486788,0.00028572146807440927,0.0003892379679144385
Saturn,2460310.5,8.996072178834984,-3.716158627193116,-0.2934040831625142,0.6637099287259762,1.8812301909620164,-0.05905283688634484,0.00028572146807440927,0.0003892379679144385
Saturn,2460676.5,9.461067271500818,-1.764614720843175,-0.3458764004169705,0.25910133006123365,1.9997793752167754,-0.04501143655293356,0.00028572146807440927,0.0003892379679144385
Uranus,2451544.5,14.43051609648136,-13.73565967460644,-0.2381293855338772,0.9783095705847911,0.9761039263469831,-0.009040352037327075,4.364504776269483e-05,0.0001695187165775401
Uranus,2451910.5,15.37333706573854,-12.72455463940824,-0.2465775889630795,0.9028789793239321,1.0409487546547331,-0.007820704238146845,4.364504776269483e-05,0.0001695187165775401
Uranus,2452275.5,16.23662145628234,-11.65442719430496,-0.2537554824656136,0.824349411166806,1.0998456066496316,-0.0065479419634778945,4.364504776269483e-05,0.0001695187165775401
Uranus,2452640.5,17.01992153632577,-10.52820562435059,-0.2596757749965781,0.7427886684891041,1.1532234643388186,-0.0052754035381138,4.364504776269483e-05,0.0001695187165775401
Uranus,2453005.5,17.72034676389035,-9.351334757570173,-0.2643308368993413,0.6584604618944084,1.201242873976026,-0.003998382683430559,4.364504776269483e-05,0.0001695187165775401
Uranus,2453371.5,18.33667188725035,-8.125816586789009,-0.2677200719028568,0.5711904499360717,1.2438627996354066,-0.002688309653676621,4.364504776269483e-05,0.0001695187165775401
Uranus,2453736.5,18.86287215162663,-6.863855165490655,-0.2698181241059137,0.4814870577520056,1.2808190316302241,-0.0014252264601169154,4.364504776269483e-05,0.0001695187165775401
Uranus,2454101.5,19.2982114230086,-5.567851322516344,-0.2706277741756376,0.38938596451645324,1.3119879214938166,-0.00015051942850893138,4.364504776269483e-05,0.0001695187165775401
Uranus,2454466.5,19.64030590375443,-4.243711212038975,-0.2701400434254458,0.2949210259207904,1.3370457115195615,0.0011459233485354055,4.364504776269483e-05,0.0001695187165775401
Uranus,2454832.5,19.8875227764746,-2.893981485560364,-0.2683403891446335,0.1981077654026807,1.3557535302566148,0.0024343204376276674,4.364504776269483e-05,0.0001695187165775401
Uranus,2455197.5,20.03661972420862,-1.53273147937067,-0.2652313852231223,0.09996386834467244,1.367442476628607,0.0037667282585351755,4.364504776269483e-05,0.0001695187165775401
Uranus,2455562.5,20.08706827658145,-0.1634243036217619,-0.2608103906858677,0.0007919445693983111,1.3717996424294876,0.005096526839126172,4.364504776269483e-05,0.0001695187165775401
Uranus,2455927.5,20.03835034237562,1.206500841762962,-0.2550912515268086,-0.0983811046295537,1.3687084606819901,0.006380829053537655,4.364504776269483e-05,0.0001695187165775401
Uranus,2456293.5,19.89033334533038,2.573355086309018,-0.2480829809620888,-0.19691257864507383,1.3582318970838558,0.007647140849371592,4.364504776269483e-05,0.0001695187165775401
Uranus,2456658.5,19.64500875007205,3.922598152675691,-0.239869425401216,-0.2938343136571523,1.3409799666360367,0.008817907827289681,4.364504776269483e-05,0.0001695187165775401
Uranus,2457023.5,19.30372698690967,5.251361629977181,-0.2304859275301889,-0.38893357199105294,1.3173391838770425,0.009916200719955673,4.364504776269483e-05,0.0001695187165775401
Uranus,2457388.5,18.86832428083424,6.553426244786173,-0.2199871334928019,-0.4821429680456261,1.287546700632296,0.010976368787422353,4.364504776269483e-05,0.0001695187165775401
Uranus,2457754.5,18.33923524938768,7.826214369775359,-0.2083958465234289,-0.5736080614965795,1.2518041944049072,0.012030961953145554,4.364504776269483e-05,0.0001695187165775401
Uranus,2458119.5,17.72148156265955,9.056871093649049,-0.1958285499770924,-0.6624753462673278,1.2102386196276342,0.013014494794871637,4.364504776269483e-05,0.0001695187165775401
Uranus,2458484.5,17.01606248004406,10.24309929180632,-0.1823084083706322,-0.7489742871098233,1.162837732951286,0.013971168254772197,4.364504776269483e-05,0.0001695187165775401
Uranus,2458849.5,16.22549318799727,11.37903427774423,-0.1678882081154372,-0.8328062962595252,1.1095886047792838,0.014884311431767874,4.364504776269483e-05,0.0001695187165775401
