frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
1,87.5,50,37.5,12.5,12.5,12.5,0,0,0,0
1,75,62.5,37.5,12.5,12.5,12.5,0,0,0,0
1,87.5,62.5,37.5,12.5,12.5,12.5,97.205,63.9996,41.7225,2
1,50,75,75,12.5,12.5,12.5,0,0,0,0
1,62.5,75,75,12.5,12.5,12.5,0,0,0,0
1,50,87.5,75,12.5,12.5,12.5,0,0,0,0
1,50,75,87.5,12.5,12.5,12.5,0,0,0,0
1,62.5,87.5,75,12.5,12.5,12.5,63.861,88.2153,78.8402,1
1,62.5,75,87.5,12.5,12.5,12.5,0,0,0,0
1,50,87.5,87.5,12.5,12.5,12.5,59.0807,95.9391,99.0486,1
1,62.5,87.5,87.5,12.5,12.5,12.5,0,0,0,0
1,37.5,0,25,6.25,6.25,6.25,0,0,0,0
1,43.75,0,25,6.25,6.25,6.25,0,0,0,0
1,37.5,6.25,25,6.25,6.25,6.25,0,0,0,0
1,37.5,0,31.25,6.25,6.25,6.25,0,0,0,0
1,43.75,6.25,25,6.25,6.25,6.25,0,0,0,0
1,43.75,0,31.25,6.25,6.25,6.25,46.0415,4.9791,36.0817,1
1,37.5,6.25,31.25,6.25,6.25,6.25,0,0,0,0
1,43.75,6.25,31.25,6.25,6.25,6.25,44.988,7.1818,35.8733,3
1,12.5,62.5,25,6.25,6.25,6.25,0,0,0,0
1,18.75,62.5,25,6.25,6.25,6.25,0,0,0,0
1,12.5,68.75,25,6.25,6.25,6.25,0,0,0,0
1,12.5,62.5,31.25,6.25,6.25,6.25,0,0,0,0
1,18.75,68.75,25,6.25,6.25,6.25,20.9174,72.8788,29.2194,5
1,18.75,62.5,31.25,6.25,6.25,6.25,24.2285,63.7723,33.8058,2
1,12.5,68.75,31.25,6.25,6.25,6.25,0,0,0,0
1,18.75,68.75,31.25,6.25,6.25,6.25,0,0,0,0
2,0,0,0,100,100,100,49.5247,51.7587,37.1365,138
2,0,0,0,50,50,50,25.6401,9.01788,23.0198,23
2,50,0,0,50,50,50,76.6574,30.4196,25.0465,22
2,0,50,0,50,50,50,15.775,78.6024,24.5827,33
2,0,0,50,50,50,50,28.3943,26.2464,83.2931,5
2,50,50,0,50,50,50,79.2303,70.4147,25.1473,26
2,50,0,50,50,50,50,75.3244,13.0496,77.8373,10
2,0,50,50,50,50,50,27.8191,84.2579,77.3087,8
2,50,50,50,50,50,50,78.1715,82.3283,69.6356,11
2,0,0,0,25,25,25,11.3459,2.87206,6.79952,6
2,25,0,0,25,25,25,35.3471,8.89168,15.2581,6
2,0,25,0,25,25,25,0,0,0,0
2,0,0,25,25,25,25,2.31804,2.00437,43.6118,4
2,25,25,0,25,25,25,44.0983,36.3252,19.6345,2
2,25,0,25,25,25,25,45.2528,6.76235,35.8507,4
2,0,25,25,25,25,25,0,0,0,0
2,25,25,25,25,25,25,31.0848,29.1116,39.9903,1
2,50,0,0,25,25,25,70.1608,18.9809,3.0251,5
2,75,0,0,25,25,25,0,0,0,0
2,50,25,0,25,25,25,68.5148,35.0757,16.4969,2
2,50,0,25,25,25,25,62.0708,20.9173,49.1898,2
2,75,25,0,25,25,25,98.7832,28.316,21.9066,3
2,75,0,25,25,25,25,0,0,0,0
2,50,25,25,25,25,25,71.8609,25.4871,40.4623,5
2,75,25,25,25,25,25,83.7667,49.9916,27.2986,5
2,0,50,0,25,25,25,8.46502,68.0827,18.0042,9
2,25,50,0,25,25,25,0,0,0,0
2,0,75,0,25,25,25,20.5087,83.8273,14.3242,9
2,0,50,25,25,25,25,21.8698,70.1253,30.6309,7
2,25,75,0,25,25,25,0,0,0,0
2,25,50,25,25,25,25,0,0,0,0
2,0,75,25,25,25,25,13.3403,91.9765,38.232,8
2,25,75,25,25,25,25,0,0,0,0
2,0,0,50,25,25,25,0,0,0,0
2,25,0,50,25,25,25,0,0,0,0
2,0,25,50,25,25,25,0,0,0,0
2,0,0,75,25,25,25,18.3276,22.8354,95.8655,1
2,25,25,50,25,25,25,0,0,0,0
2,25,0,75,25,25,25,42.8815,4.01859,76.2739,1
2,0,25,75,25,25,25,14.1749,44.7844,82.1594,1
2,25,25,75,25,25,25,33.2938,29.7968,81.0833,2
2,50,50,0,25,25,25,69.2551,57.9226,21.9442,3
2,75,50,0,25,25,25,0,0,0,0
2,50,75,0,25,25,25,0,0,0,0
2,50,50,25,25,25,25,58.8792,67.9855,36.2397,7
2,75,75,0,25,25,25,86.0545,80.2341,0.874838,5
2,75,50,25,25,25,25,90.7043,62.3011,32.0778,7
2,50,75,25,25,25,25,0,0,0,0
2,75,75,25,25,25,25,93.7165,85.9595,26.3504,4
2,50,0,50,25,25,25,0,0,0,0
2,75,0,50,25,25,25,96.8667,1.23673,67.0316,2
2,50,25,50,25,25,25,0,0,0,0
2,50,0,75,25,25,25,74.3158,6.69494,75.1037,3
2,75,25,50,25,25,25,0,0,0,0
