frame,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,radius
21,0.0574949,-0.533663,0.823009,-5.58056e-05,-5.39447,-3.45266,-1.91769e-05,3.00251e-06,4.25869e-05
21,0.0574949,-0.52163,0.825906,0.000240947,-5.22333,-3.37754,0.00815111,3.69382e-08,1.1611e-05
22,0.0602327,4.63691e-08,5.35871e-07,-4.82106e-09,1.71706e-07,1.64227e-05,-1.23101e-07,1,0.0046504
22,0.0602327,0.0167107,-0.445446,-0.0379353,8.49588,0.754033,-0.717637,1.65963e-07,1.63102e-05
22,0.0602327,0.0191014,0.713432,0.00869585,-7.47184,0.18519,0.433674,2.44696e-06,4.04545e-05
22,0.0602327,-0.548265,0.813298,-5.58389e-05,-5.33332,-3.54691,-1.2149e-05,3.00251e-06,4.25869e-05
22,0.0602327,-0.535766,0.816396,0.000263177,-5.16318,-3.47347,0.00811942,3.69382e-08,1.1611e-05
23,0.0629706,4.63639e-08,5.82786e-07,-5.16163e-09,-1.91031e-09,1.71356e-05,-1.24394e-07,1,0.0046504
23,0.0629706,0.0399159,-0.441909,-0.0397747,8.47571,1.29176,-0.671843,1.65963e-07,1.63102e-05
23,0.0629706,-0.00137096,0.713358,0.0098761,-7.47752,-0.0268907,0.431089,2.44696e-06,4.04545e-05
23,0.0629706,-0.562695,0.803332,-5.5853e-05,-5.2705,-3.64007,-5.14255e-06,3.00251e-06,4.25869e-05
23,0.0629706,-0.549733,0.806626,0.000285312,-5.10131,-3.5684,0.00808502,3.69382e-08,1.1611e-05
24,0.0657084,4.58417e-08,6.31644e-07,-5.50465e-09,-1.90718e-07,1.78453e-05,-1.25289e-07,1,0.0046504
24,0.0657084,0.0629875,-0.436894,-0.041481,8.42691,1.83201,-0.623217,1.65963e-07,1.63102e-05
24,0.0657084,-0.0218422,0.712703,0.0110483,-7.47712,-0.239229,0.428149,2.44696e-06,4.04545e-05
24,0.0657084,-0.576948,0.793114,-5.58479e-05,-5.20602,-3.73209,1.84169e-06,3.00251e-06,4.25869e-05
24,0.0657084,-0.563526,0.796599,0.000307346,-5.03774,-3.66229,0.00804794,3.69382e-08,1.1611e-05
25,0.0684463,4.47614e-08,6.82435e-07,-5.84904e-09,-3.94577e-07,1.85514e-05,-1.25788e-07,1,0.0046504
25,0.0684463,0.0858453,-0.430394,-0.0430464,8.34879,2.37387,-0.57177,1.65963e-07,1.63102e-05
25,0.0684463,-0.0422956,0.711467,0.0122115,-7.47061,-0.451643,0.424857,2.44696e-06,4.04545e-05
25,0.0684463,-0.59102,0.782647,-5.58238e-05,-5.13989,-3.82295,8.80297e-06,3.00251e-06,4.25869e-05
25,0.0684463,-0.57714,0.786319,0.000329272,-4.97248,-3.75512,0.00800818,3.69382e-08,1.1611e-05
26,0.0711841,4.30822e-08,7.35148e-07,-6.19372e-09,-6.13317e-07,1.92535e-05,-1.25893e-07,1,0.0046504
26,0.0711841,0.108407,-0.42241,-0.0444633,8.24059,2.91635,-0.517513,1.65963e-07,1.63102e-05
26,0.0711841,-0.0627145,0.709649,0.0133647,-7.45799,-0.663954,0.421213,2.44696e-06,4.04545e-05
26,0.0711841,-0.604907,0.771935,-5.57807e-05,-5.07215,-3.91262,1.57406e-05,3.00251e-06,4.25869e-05
26,0.0711841,-0.59057,0.775786,0.000351081,-4.90555,-3.84686,0.00796577,3.69382e-08,1.1611e-05
27,0.073922,4.0764e-08,7.89772e-07,-6.53761e-09,-8.46749e-07,1.99513e-05,-1.25609e-07,1,0.0046504
27,0.073922,0.130587,-0.412941,-0.045724,8.10149,3.45836,-0.46046,1.65963e-07,1.63102e-05
27,0.073922,-0.083082,0.707251,0.014507,-7.43925,-0.875978,0.417219,2.44696e-06,4.04545e-05
27,0.073922,-0.618604,0.760981,-5.57187e-05,-5.00282,-4.00107,2.26539e-05,3.00251e-06,4.25869e-05
27,0.073922,-0.603813,0.765006,0.000372766,-4.83697,-3.93748,0.00792071,3.69382e-08,1.1611e-05
28,0.0766598,3.7767e-08,8.46293e-07,-6.87968e-09,-1.09465e-06,2.06444e-05,-1.24938e-07,1,0.0046504
28,0.0766598,0.1523,-0.401994,-0.0468208,7.93061,3.99872,-0.400628,1.65963e-07,1.63102e-05
28,0.0766598,-0.103382,0.704273,0.0156374,-7.4144,-1.08753,0.41288,2.44696e-06,4.04545e-05
28,0.0766598,-0.632107,0.749788,-5.56378e-05,-4.93191,-4.08828,2.95421e-05,3.00251e-06,4.25869e-05
28,0.0766598,-0.616864,0.753981,0.000394322,-4.76674,-4.02695,0.00787302,3.69382e-08,1.1611e-05
29,0.0793977,3.40523e-08,9.04699e-07,-7.21885e-09,-1.35679e-06,2.13326e-05,-1.23884e-07,1,0.0046504
29,0.0793977,0.173456,-0.389574,-0.0477463,7.72702,4.53609,-0.33804,1.65963e-07,1.63102e-05
29,0.0793977,-0.123596,0.700718,0.016755,-7.38344,-1.29844,0.408197,2.44696e-06,4.04545e-05
29,0.0793977,-0.645411,0.738359,-5.55382e-05,-4.85946,-4.1742,3.64044e-05,3.00251e-06,4.25869e-05
29,0.0793977,-0.629718,0.742714,0.000415739,-4.69489,-4.11525,0.00782272,3.69382e-08,1.1611e-05
30,0.0821355,2.95817e-08,9.64974e-07,-7.5541e-09,-1.63288e-06,2.20154e-05,-1.2245e-07,1,0.0046504
30,0.0821355,0.193962,-0.375696,-0.048493,7.48975,5.069,-0.272727,1.65963e-07,1.63102e-05
30,0.0821355,-0.14371,0.696588,0.0178588,-7.34639,-1.50851,0.403174,2.44696e-06,4.04545e-05
30,0.0821355,-0.658513,0.726699,-5.54198e-05,-4.78548,-4.25881,4.324e-05,3.00251e-06,4.25869e-05
30,0.0821355,-0.64237,0.731209,0.000437012,-4.62143,-4.20234,0.00776982,3.69382e-08,1.1611e-05
31,0.0848734,2.43178e-08,1.0271e-06,-7.88439e-09,-1.92265e-06,2.26928e-05,-1.20637e-07,1,0.0046504
31,0.0848734,0.213723,-0.360376,-0.0490535,7.21777,5.59581,-0.204729,1.65963e-07,1.63102e-05
31,0.0848734,-0.163705,0.691886,0.018948,-7.30326,-1.71756,0.397814,2.44696e-06,4.04545e-05
31,0.0848734,-0.671409,0.714812,-5.52828e-05,-4.70999,-4.34209,5.0048e-05,3.00251e-06,4.25869e-05
31,0.0848734,-0.654818,0.719468,0.000458132,-4.54638,-4.28821,0.00771432,3.69382e-08,1.1611e-05
32,0.0876112,1.82239e-08,1.09107e-06,-8.20868e-09,-2.22578e-06,2.33643e-05,-1.18447e-07,1,0.0046504
32,0.0876112,0.232641,-0.343635,-0.0494207,6.91005,6.11468,-0.134101,1.65963e-07,1.63102e-05
32,0.0876112,-0.183565,0.686614,0.0200216,-7.25408,-1.92541,0.392122,2.44696e-06,4.04545e-05
32,0.0876112,-0.684093,0.702699,-5.51272e-05,-4.63304,-4.424,5.68276e-05,3.00251e-06,4.25869e-05
32,0.0876112,-0.667055,0.707496,0.000479094,-4.46975,-4.37281,0.00765625,3.69382e-08,1.1611e-05
33,0.0903491,1.12644e-08,1.15686e-06,-8.52593e-09,-2.54195e-06,2.403e-05,-1.15878e-07,1,0.0046504
33,0.0903491,0.250617,-0.3255,-0.0495875,6.56554,6.62356,-0.0609158,1.65963e-07,1.63102e-05
33,0.0903491,-0.203275,0.680777,0.0210786,-7.19889,-2.13188,0.386101,2.44696e-06,4.04545e-05
33,0.0903491,-0.696563,0.690367,-5.49531e-05,-4.55463,-4.50452,6.35776e-05,3.00251e-06,4.25869e-05
33,0.0903491,-0.679079,0.695296,0.00049989,-4.39157,-4.45612,0.00759562,3.69382e-08,1.1611e-05
34,0.0930869,3.40457e-09,1.22446e-06,-8.83511e-09,-2.87082e-06,2.46895e-05,-1.12926e-07,1,0.0046504
34,0.0930869,0.267546,-0.306006,-0.0495471,6.1832,7.12015,0.014735,1.65963e-07,1.63102e-05
34,0.0930869,-0.222817,0.67438,0.0221184,-7.13771,-2.33679,0.379757,2.44696e-06,4.04545e-05
34,0.0930869,-0.708814,0.677817,-5.47606e-05,-4.4748,-4.58363,7.02971e-05,3.00251e-06,4.25869e-05
34,0.0930869,-0.690884,0.682871,0.000520512,-4.31185,-4.53812,0.00753244,3.69382e-08,1.1611e-05
35,0.0958248,-5.38949e-09,1.29384e-06,-9.13513e-09,-3.21203e-06,2.53428e-05,-1.09582e-07,1,0.0046504
35,0.0958248,0.283321,-0.285194,-0.0492932,5.76202,7.60187,0.0927326,1.65963e-07,1.63102e-05
35,0.0958248,-0.242175,0.667426,0.0231398,-7.07058,-2.53995,0.373094,2.44696e-06,4.04545e-05
35,0.0958248,-0.720843,0.665055,-5.45499e-05,-4.39357,-4.66129,7.69851e-05,3.00251e-06,4.25869e-05
35,0.0958248,-0.702467,0.670226,0.000540955,-4.23062,-4.61878,0.00746672,3.69382e-08,1.1611e-05
36,0.0985626,-1.51506e-08,1.365e-06,-9.42489e-09,-3.56524e-06,2.59899e-05,-1.05836e-07,1,0.0046504
36,0.0985626,0.297835,-0.263111,-0.0488198,5.30109,8.06585,0.172927,1.65963e-07,1.63102e-05
36,0.0985626,-0.261333,0.659921,0.0241422,-6.99757,-2.74118,0.366117,2.44696e-06,4.04545e-05
36,0.0985626,-0.732646,0.652085,-5.43209e-05,-4.31097,-4.73748,8.36403e-05,3.00251e-06,4.25869e-05
36,0.0985626,-0.713823,0.657363,0.000561211,-4.14788,-4.69807,0.00739848,3.69382e-08,1.1611e-05
37,0.1013,-2.59106e-08,1.43791e-06,-9.70325e-09,-3.93008e-06,2.66308e-05,-1.01669e-07,1,0.0046504
37,0.1013,0.310975,-0.239814,-0.0481213,4.79959,8.50889,0.255132,1.65963e-07,1.63102e-05
37,0.1013,-0.280276,0.651871,0.0251246,-6.91871,-2.94031,0.358832,2.44696e-06,4.04545e-05
37,0.1013,-0.744219,0.63891,-5.40737e-05,-4.22703,-4.81218,9.02617e-05,3.00251e-06,4.25869e-05
37,0.1013,-0.724949,0.644287,0.000581273,-4.06367,-4.77595,0.00732774,3.69382e-08,1.1611e-05
38,0.104038,-3.77004e-08,1.51256e-06,-9.96898e-09,-4.30623e-06,2.72656e-05,-9.70588e-08,1,0.0046504
38,0.104038,0.32263,-0.215373,-0.0471928,4.25685,8.92743,0.339116,1.65963e-07,1.63102e-05
38,0.104038,-0.298986,0.643282,0.0260863,-6.83408,-3.13716,0.351245,2.44696e-06,4.04545e-05
38,0.104038,-0.755559,0.625534,-5.38086e-05,-4.14178,-4.88535,9.68481e-05,3.00251e-06,4.25869e-05
38,0.104038,-0.73584,0.631002,0.000601135,-3.97799,-4.85242,0.00725451,3.69382e-08,1.1611e-05
39,0.106776,-5.05501e-08,1.58893e-06,-1.02208e-08,-4.69336e-06,2.78944e-05,-9.19724e-08,1,0.0046504
39,0.106776,0.332684,-0.189862,-0.0460303,3.67246,9.31754,0.424598,1.65963e-07,1.63102e-05
39,0.106776,-0.31745,0.63416,0.0270264,-6.74373,-3.33155,0.343362,2.44696e-06,4.04545e-05
39,0.106776,-0.766661,0.611963,-5.35255e-05,-4.05524,-4.95699,0.000103398,3.00251e-06,4.25869e-05
39,0.106776,-0.746493,0.617511,0.000620789,-3.89088,-4.92743,0.0071788,3.69382e-08,1.1611e-05
40,0.109514,-6.4489e-08,1.66701e-06,-1.04573e-08,-5.09119e-06,2.85174e-05,-8.63693e-08,1,0.0046504
40,0.109514,0.341025,-0.163374,-0.0446307,3.04629,9.6749,0.511236,1.65963e-07,1.63102e-05
40,0.109514,-0.33565,0.624514,0.0279441,-6.64774,-3.52331,0.335189,2.44696e-06,4.04545e-05
40,0.109514,-0.777524,0.5982,-5.32246e-05,-3.96744,-5.02706,0.000109911,3.00251e-06,4.25869e-05
40,0.109514,-0.756903,0.60382,0.00064023,-3.80235,-5.00096,0.00710063,3.69382e-08,1.1611e-05
41,0.112252,-7.95458e-08,1.74677e-06,-1.06768e-08,-5.49948e-06,2.91349e-05,-8.01984e-08,1,0.0046504
41,0.112252,0.347537,-0.13601,-0.0429917,2.37858,9.99478,0.59862,1.65963e-07,1.63102e-05
41,0.112252,-0.353573,0.61435,0.0288386,-6.54618,-3.71227,0.326734,2.44696e-06,4.04545e-05
41,0.112252,-0.788142,0.584249,-5.29059e-05,-3.87842,-5.09554,0.000116386,3.00251e-06,4.25869e-05
41,0.112252,-0.767067,0.58993,0.00065945,-3.71242,-5.07298,0.00702002,3.69382e-08,1.1611e-05
42,0.11499,-9.57485e-08,1.82822e-06,-1.08778e-08,-5.91806e-06,2.97474e-05,-7.33962e-08,1,0.0046504
42,0.11499,0.352109,-0.107886,-0.0411128,1.67007,10.2721,0.686265,1.65963e-07,1.63102e-05
42,0.11499,-0.371202,0.603677,0.0297093,-6.43914,-3.89825,0.318003,2.44696e-06,4.04545e-05
42,0.11499,-0.798514,0.570115,-5.25697e-05,-3.7882,-5.16241,0.00012282,3.00251e-06,4.25869e-05
42,0.11499,-0.776981,0.575848,0.000678442,-3.62112,-5.14348,0.00693698,3.69382e-08,1.1611e-05
43,0.117728,-1.13125e-07,1.91133e-06,-1.10582e-08,-6.34685e-06,3.03552e-05,-6.58862e-08,1,0.0046504
43,0.117728,0.354634,-0.0791356,-0.0389948,0.922095,10.5012,0.7736,1.65963e-07,1.63102e-05
43,0.117728,-0.388524,0.592504,0.0305553,-6.32671,-4.0811,0.309005,2.44696e-06,4.04545e-05
43,0.117728,-0.808635,0.555802,-5.22159e-05,-3.69681,-5.22765,0.000129214,3.00251e-06,4.25869e-05
43,0.117728,-0.786641,0.561578,0.000697201,-3.52847,-5.21241,0.00685154,3.69382e-08,1.1611e-05
44,0.120465,-1.31704e-07,1.99609e-06,-1.12158e-08,-6.78585e-06,3.09589e-05,-5.75768e-08,1,0.0046504
44,0.120465,0.355008,-0.0499049,-0.0366404,0.136695,10.6765,0.859961,1.65963e-07,1.63102e-05
44,0.120465,-0.405523,0.580839,0.0313759,-6.20898,-4.26065,0.299745,2.44696e-06,4.04545e-05
44,0.120465,-0.818503,0.541316,-5.18447e-05,-3.60428,-5.29124,0.000135565,3.00251e-06,4.25869e-05
44,0.120465,-0.796044,0.547122,0.000715719,-3.43449,-5.27976,0.00676371,3.69382e-08,1.1611e-05
45,0.123203,-1.51513e-07,2.08249e-06,-1.13482e-08,-7.23522e-06,3.1559e-05,-4.83609e-08,1,0.0046504
