frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
3,-1.36324,0.361902,-0.000363878,1.38357,1.59369,1.01474,-0.229906,0.955573,-5.33662e-05,3.03945e-06
3,0.0203391,0.361902,-0.000363878,1.38357,1.59369,1.01474,0,0,0,0
3,-1.36324,-1.23179,-0.000363878,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,-1.23179,-0.000363878,0.691787,0.796845,0.507369,0,0,0,0
3,-1.36324,-0.434943,-0.000363878,0.691787,0.796845,0.507369,0,0,0,0
3,-1.36324,-1.23179,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,-0.434943,-0.000363878,0.691787,0.796845,0.507369,-5.77515e-08,-2.71062e-08,2.26154e-09,1
3,-0.671448,-1.23179,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-1.36324,-0.434943,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,-0.434943,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-1.36324,0.361902,-0.000363878,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,0.361902,-0.000363878,0.691787,0.796845,0.507369,-0.229906,0.955573,-5.33662e-05,3.03945e-06
3,-1.36324,1.15875,-0.000363878,0.691787,0.796845,0.507369,0,0,0,0
3,-1.36324,0.361902,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,1.15875,-0.000363878,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,0.361902,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-1.36324,1.15875,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,1.15875,0.507005,0.691787,0.796845,0.507369,0,0,0,0
3,-0.671448,-0.434943,-0.000363878,0.345894,0.398423,0.253685,-0.363236,-0.231788,0.0143745,1.65963e-07
3,-0.325555,-0.434943,-0.000363878,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,-0.0365205,-0.000363878,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,-0.434943,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.325555,-0.0365205,-0.000363878,0.345894,0.398423,0.253685,2.53212e-09,1.1362e-08,-1.2409e-10,1
3,-0.325555,-0.434943,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,-0.0365205,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.325555,-0.0365205,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,0.361902,-0.000363878,0.345894,0.398423,0.253685,0,0,0,0
3,-0.325555,0.361902,-0.000363878,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,0.760325,-0.000363878,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,0.361902,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.325555,0.760325,-0.000363878,0.345894,0.398423,0.253685,-0.229906,0.955573,-5.33662e-05,3.03945e-06
3,-0.325555,0.361902,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.671448,0.760325,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.325555,0.760325,0.253321,0.345894,0.398423,0.253685,0,0,0,0
3,-0.325555,0.760325,-0.000363878,0.172947,0.199211,0.126842,-0.229906,0.955573,-5.33662e-05,3.03945e-06
3,-0.152608,0.760325,-0.000363878,0.172947,0.199211,0.126842,0,0,0,0
3,-0.325555,0.959536,-0.000363878,0.172947,0.199211,0.126842,0,0,0,0
3,-0.325555,0.760325,0.126478,0.172947,0.199211,0.126842,0,0,0,0
3,-0.152608,0.959536,-0.000363878,0.172947,0.199211,0.126842,0,0,0,0
3,-0.152608,0.760325,0.126478,0.172947,0.199211,0.126842,0,0,0,0
3,-0.325555,0.959536,0.126478,0.172947,0.199211,0.126842,0,0,0,0
3,-0.152608,0.959536,0.126478,0.172947,0.199211,0.126842,0,0,0,0
3,-0.325555,0.760325,-0.000363878,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.239081,0.760325,-0.000363878,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.325555,0.85993,-0.000363878,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.325555,0.760325,0.0630573,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.239081,0.85993,-0.000363878,0.0864734,0.0996056,0.0634211,-0.229906,0.955573,-5.33662e-05,3.03945e-06
3,-0.239081,0.760325,0.0630573,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.325555,0.85993,0.0630573,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.239081,0.85993,0.0630573,0.0864734,0.0996056,0.0634211,0,0,0,0
3,-0.239081,0.85993,-0.000363878,0.0432367,0.0498028,0.0317106,0,0,0,0
3,-0.195845,0.85993,-0.000363878,0.0432367,0.0498028,0.0317106,0,0,0,0
3,-0.239081,0.909733,-0.000363878,0.0432367,0.0498028,0.0317106,-0.229906,0.955573,-5.33662e-05,3.03945e-06
3,-0.239081,0.85993,0.0313467,0.0432367,0.0498028,0.0317106,0,0,0,0
